cardId,name,cardSet,type,rarity,text,playerClass,locale,mechanics,faction,health,collectible,img,imgGold,attack,race,cost,flavor,artist,howToGet,howToGetGold,durability,elite
HERO_09,Anduin Wrynn,Basic,Hero,Free,,Priest,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_09.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_09_premium.gif,,,,,,,,,
HERO_01,Garrosh Hellscream,Basic,Hero,Free,,Warrior,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_01.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_01_premium.gif,,,,,,,,,
HERO_07,Gul'dan,Basic,Hero,Free,,Warlock,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_07.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_07_premium.gif,,,,,,,,,
HERO_08,Jaina Proudmoore,Basic,Hero,Free,,Mage,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_08.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_08_premium.gif,,,,,,,,,
HERO_06,Malfurion Stormrage,Basic,Hero,Free,,Druid,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_06.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_06_premium.gif,,,,,,,,,
HERO_05,Rexxar,Basic,Hero,Free,,Hunter,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_05.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_05_premium.gif,,,,,,,,,
HERO_02,Thrall,Basic,Hero,Free,,Shaman,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_02.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_02_premium.gif,,,,,,,,,
HERO_04,Uther Lightbringer,Basic,Hero,Free,,Paladin,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_04.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_04_premium.gif,,,,,,,,,
HERO_03,Valeera Sanguinar,Basic,Hero,Free,,Rogue,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_03.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_03_premium.gif,,,,,,,,,
CS2_041,Ancestral Healing,Basic,Spell,Free,Restore a minion\nto full Health and\ngive it <b>Taunt</b>.,Shaman,enUS,Taunt,Neutral,,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_041.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_041_premium.gif,,,0,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",Dan Scott,Unlocked at Level 1.,Unlocked at Level 15.,,
