cardId,name,cardSet,type,rarity,text,playerClass,locale,mechanics,faction,health,collectible,img,imgGold,attack,race,cost,flavor,artist,howToGet,howToGetGold,durability,elite
GAME_004,AFK,Basic,Enchantment,,Your turns are shorter.,Neutral,enUS, ,,,,,,,,,,,,,,
CS2_041e,Ancestral Infusion,Basic,Enchantment,,Taunt.,Shaman,enUS,Taunt,,,,,,,,,,,,,,
HERO_09,Anduin Wrynn,Basic,Hero,Free,,Priest,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_09.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_09_premium.gif,,,,,,,,,
EX1_399e,Berserking,Basic,Enchantment,,This minion has increased Attack.,Neutral,enUS, ,,,,,,,,,,,,,,
CS2_092e,Blessing of Kings,Basic,Enchantment,,+4/+4.,Paladin,enUS, ,,,,,,,,,,,,,,
CS2_087e,Blessing of Might,Basic,Enchantment,,+3 Attack.,Paladin,enUS, ,Neutral,,,,,,,,,,,,,
CS2_046e,Bloodlust,Basic,Enchantment,,+3 Attack this turn.,Shaman,enUS,OneTurnEffect,,,,,,,,,,,,,,
EX1_084e,Charge,Basic,Enchantment,,Warsong Commander is granting this minion +1 Attack.,Warrior,enUS, ,,,,,,,,,,,,,,
DS1_178e,Charge,Basic,Enchantment,,Tundra Rhino grants <b>Charge</b>.,Hunter,enUS, ,,,,,,,,,,,,,,
CS2_103e2,Charge,Basic,Enchantment,,Has <b>Charge</b>.,Warrior,enUS, ,,,,,,,,,,,,,,
CS2_005o,Claw,Basic,Enchantment,,+2 Attack this turn.,Druid,enUS,OneTurnEffect,,,,,,,,,,,,,,
CS2_017o,Claws,Basic,Enchantment,,Your hero has +1 Attack this turn.,Druid,enUS,OneTurnEffect,,,,,,,,,,,,,,
EX1_019e,Cleric's Blessing,Basic,Enchantment,,+1/+1.,Priest,enUS, ,,,,,,,,,,,,,,
GAME_003,Coin's Vengeance,Basic,Enchantment,,Going second makes your first minion stronger.,Neutral,enUS, ,,,,,,,,,,,,,,
GAME_003e,Coin's Vengence,Basic,Enchantment,,Going second makes your first minion stronger.,Neutral,enUS, ,,,,,,,,,,,,,,
CS2_063e,Corruption,Basic,Enchantment,,"At the start of the corrupting player's turn, destroy this minion.",Warlock,enUS, ,,,,,,,,,,,,,,
CS2_074e,Deadly Poison,Basic,Enchantment,,+2 Attack.,Neutral,enUS, ,,,,,,,,,,,,,,
CS2_236e,Divine Spirit,Basic,Enchantment,,This minion has double Health.,Priest,enUS, ,,,,,,,,,,,,,,
CS2_122e,Enhanced,Basic,Enchantment,,Raid Leader is granting this minion +1 Attack.,Neutral,enUS, ,,,,,,,,,,,,,,
NEW1_033o,Eye In The Sky,Basic,Enchantment,,Leokk is granting this minion +1 Attack.,Hunter,enUS, ,,,,,,,,,,,,,,
EX1_565o,Flametongue,Basic,Enchantment,,+2 Attack from Flametongue Totem.,Shaman,enUS, ,,,,,,,,,,,,,,
hexfrog,Frog,Basic,Minion,Common,<b>Taunt</b>,Neutral,enUS,Taunt,Neutral,1,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/hexfrog.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/hexfrog_premium.gif,0,Beast,,,,,,,
CS2_226e,Frostwolf Banner,Basic,Enchantment,,Increased stats.,Neutral,enUS, ,,,,,,,,,,,,,,
DS1_175o,Furious Howl,Basic,Enchantment,,+1 Attack from Timber Wolf.,Hunter,enUS, ,,,,,,,,,,,,,,
HERO_01,Garrosh Hellscream,Basic,Hero,Free,,Warrior,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_01.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_01_premium.gif,,,,,,,,,
HERO_07,Gul'dan,Basic,Hero,Free,,Warlock,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_07.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_07_premium.gif,,,,,,,,,
CS2_105e,Heroic Strike,Basic,Enchantment,,+4 Attack this turn.,Warrior,enUS,OneTurnEffect,,,,,,,,,,,,,,
EX1_246e,Hexxed,Basic,Enchantment,,This minion has been transformed!,Shaman,enUS,Morph,,,,,,,,,,,,,,
EX1_360e,Humility,Basic,Enchantment,,Attack has been changed to 1.,Paladin,enUS, ,Neutral,,,,,,,,,,,,,
CS2_084e,Hunter's Mark,Basic,Enchantment,,This minion has 1 Health.,Hunter,enUS, ,,,,,,,,,,,,,,
HERO_08,Jaina Proudmoore,Basic,Hero,Free,,Mage,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_08.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_08_premium.gif,,,,,,,,,
GAME_001,Luck of the Coin,Basic,Enchantment,,Going second grants you increased Health.,Neutral,enUS, ,,,,,,,,,,,,,,
HERO_06,Malfurion Stormrage,Basic,Hero,Free,,Druid,enUS, ,Neutral,30,True,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_06.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_06_premium.gif,,,,,,,,,
